rate_code_id,RatecodeID,rate_code_name
905,1,Standard rate
906,1,Standard rate
907,1,Standard rate
908,1,Standard rate
909,1,Standard rate
910,1,Standard rate
911,1,Standard rate
912,1,Standard rate
913,1,Standard rate
914,1,Standard rate
915,1,Standard rate
916,1,Standard rate
917,1,Standard rate
918,1,Standard rate
919,1,Standard rate
920,1,Standard rate
921,1,Standard rate
922,1,Standard rate
923,1,Standard rate
924,1,Standard rate
925,1,Standard rate
926,1,Standard rate
927,1,Standard rate
928,1,Standard rate
929,1,Standard rate
930,1,Standard rate
931,1,Standard rate
932,1,Standard rate
933,1,Standard rate
934,1,Standard rate
935,1,Standard rate
936,1,Standard rate
937,1,Standard rate
938,1,Standard rate
939,1,Standard rate
940,1,Standard rate
941,1,Standard rate
942,1,Standard rate
943,1,Standard rate
944,1,Standard rate
945,1,Standard rate
946,1,Standard rate
947,1,Standard rate
948,1,Standard rate
949,1,Standard rate
950,1,Standard rate
951,1,Standard rate
952,1,Standard rate
953,1,Standard rate
954,1,Standard rate
955,1,Standard rate
956,1,Standard rate
957,1,Standard rate
958,1,Standard rate
959,1,Standard rate
960,1,Standard rate
961,1,Standard rate
962,1,Standard rate
963,1,Standard rate
964,1,Standard rate
965,1,Standard rate
966,1,Standard rate
967,1,Standard rate
968,1,Standard rate
969,1,Standard rate
970,1,Standard rate
971,1,Standard rate
972,1,Standard rate
973,1,Standard rate
974,1,Standard rate
975,1,Standard rate
976,1,Standard rate
977,1,Standard rate
978,1,Standard rate
979,1,Standard rate
980,1,Standard rate
981,1,Standard rate
982,1,Standard rate
983,1,Standard rate
984,1,Standard rate
985,1,Standard rate
986,1,Standard rate
987,1,Standard rate
988,1,Standard rate
989,1,Standard rate
990,1,Standard rate
991,1,Standard rate
992,2,JFK
993,1,Standard rate
994,1,Standard rate
995,1,Standard rate
996,1,Standard rate
997,1,Standard rate
998,1,Standard rate
999,1,Standard rate
1000,1,Standard rate
1001,1,Standard rate
1002,1,Standard rate
1003,1,Standard rate
1004,1,Standard rate
1005,1,Standard rate
1006,1,Standard rate
1007,1,Standard rate
1008,1,Standard rate
1009,1,Standard rate
1010,1,Standard rate
1011,1,Standard rate
1012,1,Standard rate
1013,1,Standard rate
1014,1,Standard rate
1015,1,Standard rate
1016,1,Standard rate
1017,1,Standard rate
1018,1,Standard rate
1019,1,Standard rate
1020,1,Standard rate
1021,1,Standard rate
1022,1,Standard rate
1023,1,Standard rate
1024,1,Standard rate
1025,1,Standard rate
1026,1,Standard rate
1027,1,Standard rate
1028,1,Standard rate
1029,1,Standard rate
1030,1,Standard rate
1031,1,Standard rate
1032,1,Standard rate
1033,1,Standard rate
1034,1,Standard rate
1035,1,Standard rate
1036,1,Standard rate
1037,1,Standard rate
1038,1,Standard rate
1039,1,Standard rate
1040,1,Standard rate
1041,2,JFK
1042,1,Standard rate
1043,1,Standard rate
1044,1,Standard rate
1045,1,Standard rate
1046,1,Standard rate
1047,2,JFK
1048,1,Standard rate
1049,1,Standard rate
1050,1,Standard rate
1051,1,Standard rate
1052,1,Standard rate
1053,1,Standard rate
1054,1,Standard rate
1055,1,Standard rate
1056,1,Standard rate
1057,1,Standard rate
1058,1,Standard rate
1059,1,Standard rate
1060,1,Standard rate
1061,1,Standard rate
1062,1,Standard rate
1063,1,Standard rate
1064,1,Standard rate
1065,1,Standard rate
1066,1,Standard rate
1067,1,Standard rate
1068,1,Standard rate
1069,1,Standard rate
1070,1,Standard rate
1071,1,Standard rate
1072,1,Standard rate
1073,1,Standard rate
1074,1,Standard rate
1075,1,Standard rate
1076,1,Standard rate
1077,1,Standard rate
1078,1,Standard rate
1079,1,Standard rate
1080,1,Standard rate
1081,1,Standard rate
1082,1,Standard rate
1083,1,Standard rate
1084,1,Standard rate
1085,1,Standard rate
1086,1,Standard rate
1087,1,Standard rate
1088,1,Standard rate
1089,1,Standard rate
1090,1,Standard rate
1091,1,Standard rate
1092,1,Standard rate
1093,1,Standard rate
1094,1,Standard rate
1095,1,Standard rate
1096,1,Standard rate
1097,1,Standard rate
1098,1,Standard rate
1099,1,Standard rate
1100,1,Standard rate
1101,1,Standard rate
1102,1,Standard rate
1103,1,Standard rate
1104,1,Standard rate
1105,1,Standard rate
1106,1,Standard rate
1107,1,Standard rate
1108,1,Standard rate
1109,1,Standard rate
1110,1,Standard rate
1111,1,Standard rate
1112,1,Standard rate
1113,1,Standard rate
1114,1,Standard rate
1115,1,Standard rate
1116,2,JFK
1117,1,Standard rate
1118,1,Standard rate
1119,1,Standard rate
1120,1,Standard rate
1121,1,Standard rate
1122,1,Standard rate
1123,1,Standard rate
1124,1,Standard rate
1125,1,Standard rate
1126,1,Standard rate
1127,1,Standard rate
1128,1,Standard rate
1129,1,Standard rate
1130,1,Standard rate
1131,1,Standard rate
1132,1,Standard rate
1133,1,Standard rate
1134,1,Standard rate
1135,1,Standard rate
1136,1,Standard rate
1137,1,Standard rate
1138,1,Standard rate
1139,1,Standard rate
1140,1,Standard rate
1141,1,Standard rate
1142,1,Standard rate
1143,1,Standard rate
1144,2,JFK
1145,1,Standard rate
1146,1,Standard rate
1147,1,Standard rate
1148,1,Standard rate
1149,1,Standard rate
1150,1,Standard rate
1151,1,Standard rate
1152,1,Standard rate
1153,1,Standard rate
1154,1,Standard rate
1155,1,Standard rate
1156,1,Standard rate
1157,1,Standard rate
1158,1,Standard rate
1159,1,Standard rate
1160,1,Standard rate
1161,1,Standard rate
1162,2,JFK
1163,1,Standard rate
1164,1,Standard rate
1165,1,Standard rate
1166,1,Standard rate
1167,1,Standard rate
1168,1,Standard rate
1169,1,Standard rate
1170,1,Standard rate
1171,1,Standard rate
1172,1,Standard rate
1173,1,Standard rate
1174,1,Standard rate
1175,1,Standard rate
1176,1,Standard rate
1177,1,Standard rate
1178,1,Standard rate
1179,1,Standard rate
1180,1,Standard rate
1181,1,Standard rate
1182,1,Standard rate
1183,1,Standard rate
1184,1,Standard rate
1185,1,Standard rate
1186,1,Standard rate
1187,1,Standard rate
1188,1,Standard rate
1189,1,Standard rate
1190,1,Standard rate
1191,1,Standard rate
1192,1,Standard rate
1193,1,Standard rate
1194,1,Standard rate
1195,1,Standard rate
1196,1,Standard rate
1197,1,Standard rate
1198,1,Standard rate
1199,1,Standard rate
1200,1,Standard rate
1201,1,Standard rate
1202,1,Standard rate
1203,1,Standard rate
1204,2,JFK
1205,1,Standard rate
1206,1,Standard rate
1207,1,Standard rate
1208,1,Standard rate
1209,1,Standard rate
1210,1,Standard rate
1211,1,Standard rate
1212,1,Standard rate
1213,1,Standard rate
1214,1,Standard rate
1215,1,Standard rate
1216,1,Standard rate
1217,1,Standard rate
1218,1,Standard rate
1219,1,Standard rate
1220,1,Standard rate
1221,1,Standard rate
1222,1,Standard rate
1223,1,Standard rate
1224,1,Standard rate
1225,1,Standard rate
1226,1,Standard rate
1227,2,JFK
1228,1,Standard rate
1229,1,Standard rate
1230,1,Standard rate
1231,1,Standard rate
1232,1,Standard rate
1233,1,Standard rate
1234,1,Standard rate
1235,1,Standard rate
1236,1,Standard rate
1237,1,Standard rate
1238,1,Standard rate
1239,2,JFK
1240,1,Standard rate
1241,1,Standard rate
1242,1,Standard rate
1243,1,Standard rate
1244,1,Standard rate
1245,1,Standard rate
1246,1,Standard rate
1247,1,Standard rate
1248,1,Standard rate
1249,1,Standard rate
1250,1,Standard rate
1251,1,Standard rate
1252,1,Standard rate
1253,1,Standard rate
1254,1,Standard rate
1255,1,Standard rate
1256,1,Standard rate
1257,1,Standard rate
1258,1,Standard rate
1259,1,Standard rate
1260,1,Standard rate
1261,1,Standard rate
1262,1,Standard rate
1263,1,Standard rate
1264,1,Standard rate
1265,1,Standard rate
1266,1,Standard rate
1267,1,Standard rate
1268,1,Standard rate
1269,1,Standard rate
1270,1,Standard rate
1271,1,Standard rate
1272,1,Standard rate
1273,1,Standard rate
1274,1,Standard rate
1275,1,Standard rate
1276,1,Standard rate
1277,1,Standard rate
1278,1,Standard rate
1279,1,Standard rate
1280,1,Standard rate
1281,1,Standard rate
1282,1,Standard rate
1283,1,Standard rate
1284,1,Standard rate
1285,1,Standard rate
1286,1,Standard rate
1287,1,Standard rate
1288,1,Standard rate
1289,1,Standard rate
1290,1,Standard rate
1291,1,Standard rate
1292,1,Standard rate
1293,1,Standard rate
1294,1,Standard rate
1295,1,Standard rate
1296,1,Standard rate
1297,1,Standard rate
1298,1,Standard rate
1299,1,Standard rate
1300,1,Standard rate
1301,1,Standard rate
1302,1,Standard rate
1303,1,Standard rate
1304,1,Standard rate
1305,1,Standard rate
1306,1,Standard rate
1307,1,Standard rate
1308,1,Standard rate
1309,1,Standard rate
1310,1,Standard rate
1311,1,Standard rate
1312,1,Standard rate
1313,1,Standard rate
1314,1,Standard rate
1315,1,Standard rate
1316,1,Standard rate
1317,1,Standard rate
1318,1,Standard rate
1319,1,Standard rate
1320,1,Standard rate
1321,1,Standard rate
1322,1,Standard rate
1323,1,Standard rate
1324,1,Standard rate
1325,1,Standard rate
1326,1,Standard rate
1327,1,Standard rate
1328,1,Standard rate
1329,1,Standard rate
1330,1,Standard rate
1331,1,Standard rate
1332,1,Standard rate
1333,1,Standard rate
1334,1,Standard rate
1335,1,Standard rate
1336,1,Standard rate
1337,2,JFK
1338,1,Standard rate
1339,1,Standard rate
1340,1,Standard rate
1341,1,Standard rate
1342,1,Standard rate
1343,1,Standard rate
1344,1,Standard rate
1345,1,Standard rate
1346,1,Standard rate
1347,1,Standard rate
1348,1,Standard rate
1349,1,Standard rate
1350,1,Standard rate
1351,1,Standard rate
1352,1,Standard rate
1353,1,Standard rate
1354,1,Standard rate
1355,1,Standard rate
1356,1,Standard rate
1357,1,Standard rate
1358,1,Standard rate
1359,1,Standard rate
1360,2,JFK
1361,1,Standard rate
1362,1,Standard rate
1363,1,Standard rate
